a.png
c.cpp
e.pdf
f.cpp
f.png
Connected to 3 with unique-ID 6553 on port 2227
Connected to 4 with unique-ID 6228 on port 7831
Connected to 6 with unique-ID 2784 on port 3784
Connected to 8 with unique-ID 8126 on port 6998
Connected to 9 with unique-ID 8603 on port 7536
Connected to 11 with unique-ID 9281 on port 3491
Connected to 12 with unique-ID 9827 on port 4124
Connected to 14 with unique-ID 1785 on port 2418
Connected to 15 with unique-ID 4987 on port 3277
Connected to 17 with unique-ID 7065 on port 7415
Found a.cpp at 1785 with MD5 0 at depth 1
Found a.pdf at 2784 with MD5 0 at depth 1
Found b.cpp at 1785 with MD5 0 at depth 1
Found b.pdf at 6228 with MD5 0 at depth 1
Found b.png at 2784 with MD5 0 at depth 1
Found c.pdf at 2784 with MD5 0 at depth 1
Found c.png at 7065 with MD5 0 at depth 1
Found d.cpp at 6553 with MD5 0 at depth 1
Found d.png at 0 with MD5 0 at depth 0
Found e.cpp at 0 with MD5 0 at depth 0
Found e.png at 4987 with MD5 0 at depth 1
Found f.pdf at 1785 with MD5 0 at depth 1
Found g.cpp at 1785 with MD5 0 at depth 1
Found g.pdf at 0 with MD5 0 at depth 0
Found g.png at 2784 with MD5 0 at depth 1
